ZIPCODE,ZC_LATITUDE,ZC_LONGITUDE,AUTONOMOUS_COMMUNITY,AUTONOMOUS_COMMUNITY_NK,PROVINCE
05162,40.8344,-4.7478,Castilla - Leon,CL,Ávila
05160,40.7,-4.7167,Castilla - Leon,CL,Ávila
05154,40.5333,-5.4,Castilla - Leon,CL,Ávila
05153,40.5833,-5.3833,Castilla - Leon,CL,Ávila
05152,40.5878,-5.3556,Castilla - Leon,CL,Ávila
05151,40.6667,-5.3167,Castilla - Leon,CL,Ávila
05150,40.6667,-5.2833,Castilla - Leon,CL,Ávila
05149,40.7,-4.9667,Castilla - Leon,CL,Ávila
05148,40.7167,-5.2,Castilla - Leon,CL,Ávila
05147,40.6833,-5.1167,Castilla - Leon,CL,Ávila
05146,40.8167,-5,Castilla - Leon,CL,Ávila
05145,40.6667,-5.0667,Castilla - Leon,CL,Ávila
05143,40.6833,-5,Castilla - Leon,CL,Ávila
05141,40.6667,-4.9667,Castilla - Leon,CL,Ávila
05140,40.65,-4.8,Castilla - Leon,CL,Ávila
05134,40.4167,-5.0667,Castilla - Leon,CL,Ávila
05133,40.4333,-5.15,Castilla - Leon,CL,Ávila
05132,40.4,-5.0556,Castilla - Leon,CL,Ávila
05131,40.5333,-4.9833,Castilla - Leon,CL,Ávila
05130,40.5333,-4.9167,Castilla - Leon,CL,Ávila
05124,,,Castilla - Leon,CL,Ávila
05123,40.4,-4.9167,Castilla - Leon,CL,Ávila
05122,40.4167,-4.8833,Castilla - Leon,CL,Ávila
05120,40.4583,-4.8208,Castilla - Leon,CL,Ávila
05116,-4.91117661,40.33734342,Castilla - Leon,CL,Ávila
05115,40.3333,-4.9,Castilla - Leon,CL,Ávila
05114,40.4,-4.8125,Castilla - Leon,CL,Ávila
05113,40.4167,-4.7833,Castilla - Leon,CL,Ávila
05111,40.4833,-4.6833,Castilla - Leon,CL,Ávila
05110,40.4,-4.8125,Castilla - Leon,CL,Ávila
05100,40.4167,-4.7,Castilla - Leon,CL,Ávila
05080,40.65,-4.7,Castilla - Leon,CL,Ávila
05071,40.65,-4.7,Castilla - Leon,CL,Ávila
05070,40.65,-4.7,Castilla - Leon,CL,Ávila
05025,,,Castilla - Leon,CL,Ávila
05005,40.65,-4.7,Castilla - Leon,CL,Ávila
05004,40.6571,-4.6964,Castilla - Leon,CL,Ávila
05003,40.65,-4.7,Castilla - Leon,CL,Ávila
05002,40.65,-4.7,Castilla - Leon,CL,Ávila
05001,40.655,-4.6977,Castilla - Leon,CL,Ávila
04899,37.4167,-2.55,Andalucia,AN,Almería
04898,37.3958,-2.6292,Andalucia,AN,Almería
04897,37.3333,-2.6,Andalucia,AN,Almería
04890,37.35,-2.5167,Andalucia,AN,Almería
04889,37.2667,-2.45,Andalucia,AN,Almería
04888,37.35,-2.4,Andalucia,AN,Almería
04887,37.3833,-2.45,Andalucia,AN,Almería
04880,37.35,-2.4333,Andalucia,AN,Almería
04879,37.4,-2.3667,Andalucia,AN,Almería
04878,37.3167,-2.4,Andalucia,AN,Almería
04877,37.3833,-2.3833,Andalucia,AN,Almería
04870,37.35,-2.3667,Andalucia,AN,Almería
04869,37.3667,-2.2667,Andalucia,AN,Almería
04868,37.3,-2.3333,Andalucia,AN,Almería
04867,37.3333,-2.3,Andalucia,AN,Almería
04860,37.3556,-2.3056,Andalucia,AN,Almería
04859,37.25,-2.2667,Andalucia,AN,Almería
04858,37.2833,-2.1667,Andalucia,AN,Almería
04857,37.2833,-2.1833,Andalucia,AN,Almería
04850,37.35,-2.1833,Andalucia,AN,Almería
04839,37.8667,-2.2167,Andalucia,AN,Almería
04838,37.7167,-2.1667,Andalucia,AN,Almería
04830,37.6833,-2.0833,Andalucia,AN,Almería
04829,37.6583,-2.0417,Andalucia,AN,Almería
04828,37.606,-2.1333,Andalucia,AN,Almería
04827,37.5333,-2.0167,Andalucia,AN,Almería
04826,37.606,-2.1333,Andalucia,AN,Almería
04825,37.57,-2.2867,Andalucia,AN,Almería
04820,37.65,-2.0667,Andalucia,AN,Almería
04815,37.35,-2.1333,Andalucia,AN,Almería
04814,37.4969,-2.2906,Andalucia,AN,Almería
04813,37.49,-2.1833,Andalucia,AN,Almería
04812,37.4969,-2.2906,Andalucia,AN,Almería
04811,37.5056,-2.3139,Andalucia,AN,Almería
04810,37.5292,-2.4292,Andalucia,AN,Almería
04800,37.3833,-2.1333,Andalucia,AN,Almería
04779,36.75,-2.9833,Andalucia,AN,Almería
04778,36.75,-3.075,Andalucia,AN,Almería
04770,36.7333,-3.0167,Andalucia,AN,Almería
04769,36.8667,-2.9667,Andalucia,AN,Almería
04768,36.9167,-3.0167,Andalucia,AN,Almería
04760,36.85,-2.95,Andalucia,AN,Almería
04750,36.8333,-2.8667,Andalucia,AN,Almería
04746,36.9083,-2.5583,Andalucia,AN,Almería
04745,37.3,-2.4333,Andalucia,AN,Almería
04743,36.9083,-2.5583,Andalucia,AN,Almería
04742,36.8,-2.6,Andalucia,AN,Almería
04741,36.9083,-2.5583,Andalucia,AN,Almería
04740,36.7469,-2.6188,Andalucia,AN,Almería
04738,36.8333,-2.6333,Andalucia,AN,Almería
04730,36.8667,-2.65,Andalucia,AN,Almería
04729,36.8833,-2.6,Andalucia,AN,Almería
04728,36.8667,-2.65,Andalucia,AN,Almería
04727,-2.64392746,36.83084658,Andalucia,AN,Almería
04721,36.8333,-2.6333,Andalucia,AN,Almería
04720,36.8083,-2.575,Andalucia,AN,Almería
